Epoch: [2][100/1017], lr: 0.00500	Time 0.752 (1.300)	Data 0.000 (0.530)	Loss 0.8267 (0.5964)	Prec@1 78.125 (82.024)	Prec@5 96.875 (97.741)
Epoch: [2][120/1017], lr: 0.00500	Time 0.754 (1.299)	Data 0.000 (0.530)	Loss 0.8311 (0.5983)	Prec@1 84.375 (81.999)	Prec@5 93.750 (97.831)
Epoch: [2][140/1017], lr: 0.00500	Time 0.753 (1.295)	Data 0.000 (0.528)	Loss 0.6332 (0.6027)	Prec@1 75.000 (81.671)	Prec@5 100.000 (97.850)
Epoch: [2][160/1017], lr: 0.00500	Time 0.753 (1.295)	Data 0.000 (0.529)	Loss 0.5220 (0.5938)	Prec@1 87.500 (82.007)	Prec@5 96.875 (97.904)
Epoch: [2][180/1017], lr: 0.00500	Time 0.754 (1.295)	Data 0.000 (0.529)	Loss 0.4747 (0.5891)	Prec@1 87.500 (82.165)	Prec@5 96.875 (97.911)
Epoch: [2][200/1017], lr: 0.00500	Time 0.753 (1.294)	Data 0.000 (0.528)	Loss 0.4513 (0.5900)	Prec@1 84.375 (82.152)	Prec@5 96.875 (97.979)
Epoch: [2][220/1017], lr: 0.00500	Time 0.820 (1.294)	Data 0.000 (0.529)	Loss 0.4545 (0.5868)	Prec@1 84.375 (82.197)	Prec@5 96.875 (97.978)
Epoch: [2][240/1017], lr: 0.00500	Time 0.753 (1.294)	Data 0.000 (0.529)	Loss 0.7820 (0.5913)	Prec@1 71.875 (82.067)	Prec@5 100.000 (97.964)
Epoch: [2][260/1017], lr: 0.00500	Time 0.753 (1.293)	Data 0.000 (0.528)	Loss 0.4878 (0.5884)	Prec@1 87.500 (82.136)	Prec@5 100.000 (98.036)
Epoch: [2][280/1017], lr: 0.00500	Time 0.754 (1.292)	Data 0.000 (0.527)	Loss 0.8368 (0.5927)	Prec@1 75.000 (81.973)	Prec@5 93.750 (98.009)
Epoch: [2][300/1017], lr: 0.00500	Time 0.755 (1.292)	Data 0.000 (0.526)	Loss 0.5953 (0.5954)	Prec@1 78.125 (81.863)	Prec@5 100.000 (98.017)
Epoch: [2][320/1017], lr: 0.00500	Time 0.753 (1.292)	Data 0.000 (0.526)	Loss 0.5364 (0.5987)	Prec@1 78.125 (81.737)	Prec@5 96.875 (98.004)
Epoch: [2][340/1017], lr: 0.00500	Time 0.753 (1.292)	Data 0.000 (0.526)	Loss 0.4247 (0.5971)	Prec@1 87.500 (81.800)	Prec@5 100.000 (98.011)
Epoch: [2][360/1017], lr: 0.00500	Time 0.795 (1.292)	Data 0.000 (0.526)	Loss 0.6736 (0.5969)	Prec@1 75.000 (81.778)	Prec@5 96.875 (98.026)
Epoch: [2][380/1017], lr: 0.00500	Time 0.822 (1.291)	Data 0.000 (0.525)	Loss 0.5283 (0.5956)	Prec@1 78.125 (81.759)	Prec@5 100.000 (98.064)
Epoch: [2][400/1017], lr: 0.00500	Time 0.829 (1.290)	Data 0.000 (0.524)	Loss 0.5187 (0.5950)	Prec@1 87.500 (81.764)	Prec@5 100.000 (98.060)
Epoch: [2][420/1017], lr: 0.00500	Time 0.754 (1.290)	Data 0.000 (0.524)	Loss 0.3448 (0.5955)	Prec@1 84.375 (81.710)	Prec@5 100.000 (98.011)
Epoch: [2][440/1017], lr: 0.00500	Time 0.830 (1.290)	Data 0.000 (0.523)	Loss 0.3393 (0.5960)	Prec@1 93.750 (81.753)	Prec@5 100.000 (97.995)
Epoch: [2][460/1017], lr: 0.00500	Time 0.753 (1.290)	Data 0.000 (0.524)	Loss 0.5449 (0.5980)	Prec@1 81.250 (81.725)	Prec@5 100.000 (97.953)
Epoch: [2][480/1017], lr: 0.00500	Time 0.754 (1.290)	Data 0.000 (0.523)	Loss 0.5376 (0.5949)	Prec@1 87.500 (81.822)	Prec@5 96.875 (97.960)
Epoch: [2][500/1017], lr: 0.00500	Time 0.754 (1.289)	Data 0.000 (0.522)	Loss 0.5664 (0.5967)	Prec@1 78.125 (81.699)	Prec@5 100.000 (97.973)
Epoch: [2][520/1017], lr: 0.00500	Time 0.753 (1.289)	Data 0.000 (0.522)	Loss 0.5638 (0.5968)	Prec@1 84.375 (81.700)	Prec@5 96.875 (97.985)
Epoch: [2][540/1017], lr: 0.00500	Time 0.752 (1.289)	Data 0.000 (0.522)	Loss 0.4378 (0.5965)	Prec@1 84.375 (81.666)	Prec@5 100.000 (98.007)
Epoch: [2][560/1017], lr: 0.00500	Time 0.752 (1.289)	Data 0.000 (0.522)	Loss 0.7226 (0.5951)	Prec@1 75.000 (81.707)	Prec@5 96.875 (98.000)
Epoch: [2][580/1017], lr: 0.00500	Time 0.830 (1.289)	Data 0.000 (0.522)	Loss 0.4275 (0.5950)	Prec@1 87.500 (81.680)	Prec@5 100.000 (97.999)
Epoch: [2][600/1017], lr: 0.00500	Time 0.796 (1.289)	Data 0.000 (0.522)	Loss 0.3911 (0.5915)	Prec@1 84.375 (81.770)	Prec@5 100.000 (98.050)
Epoch: [2][620/1017], lr: 0.00500	Time 0.828 (1.289)	Data 0.000 (0.521)	Loss 0.6519 (0.5894)	Prec@1 81.250 (81.859)	Prec@5 100.000 (98.058)
Epoch: [2][640/1017], lr: 0.00500	Time 0.754 (1.289)	Data 0.000 (0.521)	Loss 0.7987 (0.5916)	Prec@1 78.125 (81.830)	Prec@5 96.875 (98.006)
Epoch: [2][660/1017], lr: 0.00500	Time 0.757 (1.289)	Data 0.000 (0.520)	Loss 0.4805 (0.5899)	Prec@1 87.500 (81.898)	Prec@5 100.000 (98.010)
Epoch: [2][680/1017], lr: 0.00500	Time 0.826 (1.289)	Data 0.000 (0.520)	Loss 0.6205 (0.5894)	Prec@1 81.250 (81.929)	Prec@5 93.750 (97.985)
Epoch: [2][700/1017], lr: 0.00500	Time 0.756 (1.288)	Data 0.000 (0.520)	Loss 0.4670 (0.5896)	Prec@1 84.375 (81.901)	Prec@5 100.000 (97.985)
Epoch: [2][720/1017], lr: 0.00500	Time 0.753 (1.288)	Data 0.000 (0.520)	Loss 0.7329 (0.5889)	Prec@1 75.000 (81.926)	Prec@5 100.000 (98.006)
Epoch: [2][740/1017], lr: 0.00500	Time 0.754 (1.289)	Data 0.000 (0.520)	Loss 0.4566 (0.5874)	Prec@1 90.625 (81.980)	Prec@5 100.000 (98.001)
Epoch: [2][760/1017], lr: 0.00500	Time 0.755 (1.289)	Data 0.000 (0.520)	Loss 0.5825 (0.5882)	Prec@1 75.000 (81.911)	Prec@5 100.000 (98.025)
Epoch: [2][780/1017], lr: 0.00500	Time 0.754 (1.289)	Data 0.000 (0.520)	Loss 0.4428 (0.5875)	Prec@1 90.625 (81.858)	Prec@5 96.875 (98.043)
Epoch: [2][800/1017], lr: 0.00500	Time 0.751 (1.289)	Data 0.000 (0.520)	Loss 0.4744 (0.5878)	Prec@1 81.250 (81.847)	Prec@5 100.000 (98.045)
Epoch: [2][820/1017], lr: 0.00500	Time 0.753 (1.289)	Data 0.000 (0.520)	Loss 0.7477 (0.5868)	Prec@1 75.000 (81.867)	Prec@5 96.875 (98.055)
Epoch: [2][840/1017], lr: 0.00500	Time 0.753 (1.289)	Data 0.000 (0.520)	Loss 0.3008 (0.5846)	Prec@1 90.625 (81.945)	Prec@5 100.000 (98.060)
