Epoch: [1][280/938], lr: 0.00500	Time 5.836 (1.483)	Data 5.197 (0.853)	Loss 1.9152 (2.1087)	Prec@1 36.667 (40.581)	Prec@5 83.333 (77.924)
Epoch: [1][300/938], lr: 0.00500	Time 3.528 (1.475)	Data 2.888 (0.846)	Loss 1.8955 (2.0934)	Prec@1 50.000 (40.997)	Prec@5 86.667 (78.361)
Epoch: [1][320/938], lr: 0.00500	Time 3.095 (1.471)	Data 2.453 (0.842)	Loss 1.7542 (2.0842)	Prec@1 50.000 (41.308)	Prec@5 76.667 (78.536)
Epoch: [1][340/938], lr: 0.00500	Time 3.462 (1.470)	Data 2.825 (0.840)	Loss 2.2310 (2.0778)	Prec@1 43.333 (41.535)	Prec@5 80.000 (78.671)
Epoch: [1][360/938], lr: 0.00500	Time 2.932 (1.470)	Data 2.294 (0.841)	Loss 1.3348 (2.0685)	Prec@1 60.000 (41.801)	Prec@5 90.000 (78.864)
Epoch: [1][380/938], lr: 0.00500	Time 3.685 (1.472)	Data 3.051 (0.842)	Loss 1.8915 (2.0569)	Prec@1 53.333 (42.108)	Prec@5 83.333 (79.160)
Epoch: [1][400/938], lr: 0.00500	Time 6.183 (1.474)	Data 5.540 (0.844)	Loss 1.6542 (2.0491)	Prec@1 46.667 (42.195)	Prec@5 86.667 (79.252)
Epoch: [1][420/938], lr: 0.00500	Time 3.116 (1.465)	Data 2.476 (0.836)	Loss 1.8903 (2.0404)	Prec@1 56.667 (42.534)	Prec@5 86.667 (79.375)
Epoch: [1][440/938], lr: 0.00500	Time 3.269 (1.464)	Data 2.629 (0.834)	Loss 2.4248 (2.0268)	Prec@1 36.667 (42.887)	Prec@5 66.667 (79.509)
Epoch: [1][460/938], lr: 0.00500	Time 3.153 (1.466)	Data 2.517 (0.836)	Loss 1.6743 (2.0136)	Prec@1 53.333 (43.167)	Prec@5 86.667 (79.732)
