Epoch: [0][980/1201], lr: 0.00500	Time 1.780 (2.453)	Data 1.108 (1.781)	Loss 0.0423 (0.1480)	Prec@1 100.000 (95.814)	Prec@5 100.000 (99.467)
Epoch: [0][1000/1201], lr: 0.00500	Time 2.167 (2.451)	Data 1.493 (1.779)	Loss 0.2136 (0.1484)	Prec@1 96.667 (95.811)	Prec@5 100.000 (99.461)
Epoch: [0][1020/1201], lr: 0.00500	Time 2.967 (2.454)	Data 2.304 (1.782)	Loss 0.4025 (0.1489)	Prec@1 86.667 (95.779)	Prec@5 100.000 (99.458)
Epoch: [0][1040/1201], lr: 0.00500	Time 0.705 (2.453)	Data 0.033 (1.780)	Loss 0.0992 (0.1488)	Prec@1 96.667 (95.760)	Prec@5 100.000 (99.462)
Epoch: [0][1060/1201], lr: 0.00500	Time 0.664 (2.453)	Data 0.000 (1.781)	Loss 0.0488 (0.1486)	Prec@1 100.000 (95.765)	Prec@5 100.000 (99.466)
Epoch: [0][1080/1201], lr: 0.00500	Time 0.663 (2.454)	Data 0.000 (1.781)	Loss 0.3193 (0.1490)	Prec@1 90.000 (95.760)	Prec@5 96.667 (99.470)
Epoch: [0][1100/1201], lr: 0.00500	Time 0.661 (2.452)	Data 0.000 (1.780)	Loss 0.3413 (0.1496)	Prec@1 86.667 (95.731)	Prec@5 96.667 (99.461)
Epoch: [0][1120/1201], lr: 0.00500	Time 0.663 (2.453)	Data 0.000 (1.781)	Loss 0.0235 (0.1490)	Prec@1 100.000 (95.742)	Prec@5 100.000 (99.468)
Epoch: [0][1140/1201], lr: 0.00500	Time 0.661 (2.452)	Data 0.000 (1.780)	Loss 0.1521 (0.1494)	Prec@1 93.333 (95.717)	Prec@5 100.000 (99.468)
Epoch: [0][1160/1201], lr: 0.00500	Time 0.662 (2.453)	Data 0.000 (1.782)	Loss 0.0922 (0.1497)	Prec@1 100.000 (95.705)	Prec@5 100.000 (99.475)
Epoch: [0][1180/1201], lr: 0.00500	Time 0.663 (2.453)	Data 0.000 (1.782)	Loss 0.1093 (0.1502)	Prec@1 96.667 (95.699)	Prec@5 100.000 (99.475)
Epoch: [0][1200/1201], lr: 0.00500	Time 0.662 (2.451)	Data 0.000 (1.779)	Loss 0.2809 (0.1520)	Prec@1 93.333 (95.645)	Prec@5 100.000 (99.464)
Epoch: [1][0/1201], lr: 0.00500	Time 8.726 (8.726)	Data 8.049 (8.049)	Loss 0.0351 (0.0351)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Epoch: [1][20/1201], lr: 0.00500	Time 5.720 (2.167)	Data 5.035 (1.500)	Loss 0.0851 (0.1474)	Prec@1 96.667 (95.079)	Prec@5 100.000 (100.000)
Epoch: [1][40/1201], lr: 0.00500	Time 6.199 (2.116)	Data 5.532 (1.450)	Loss 0.0546 (0.1304)	Prec@1 100.000 (96.341)	Prec@5 100.000 (99.837)
Epoch: [1][60/1201], lr: 0.00500	Time 7.172 (2.050)	Data 6.509 (1.384)	Loss 0.0983 (0.1356)	Prec@1 96.667 (95.683)	Prec@5 100.000 (99.836)
Epoch: [1][80/1201], lr: 0.00500	Time 5.467 (2.041)	Data 4.805 (1.375)	Loss 0.1353 (0.1357)	Prec@1 96.667 (95.926)	Prec@5 100.000 (99.794)
Epoch: [1][100/1201], lr: 0.00500	Time 4.911 (2.047)	Data 4.211 (1.381)	Loss 0.3908 (0.1395)	Prec@1 86.667 (95.743)	Prec@5 100.000 (99.736)
Epoch: [1][120/1201], lr: 0.00500	Time 4.479 (2.006)	Data 3.792 (1.339)	Loss 0.1202 (0.1433)	Prec@1 93.333 (95.620)	Prec@5 100.000 (99.614)
Epoch: [1][140/1201], lr: 0.00500	Time 5.793 (2.001)	Data 5.119 (1.334)	Loss 0.0210 (0.1426)	Prec@1 100.000 (95.745)	Prec@5 100.000 (99.598)
Epoch: [1][160/1201], lr: 0.00500	Time 9.127 (2.095)	Data 8.446 (1.428)	Loss 0.0309 (0.1423)	Prec@1 100.000 (95.756)	Prec@5 100.000 (99.586)
Epoch: [1][180/1201], lr: 0.00500	Time 5.480 (2.120)	Data 4.793 (1.454)	Loss 0.1037 (0.1459)	Prec@1 96.667 (95.672)	Prec@5 100.000 (99.558)
Epoch: [1][200/1201], lr: 0.00500	Time 5.790 (2.123)	Data 5.126 (1.456)	Loss 0.0261 (0.1475)	Prec@1 100.000 (95.622)	Prec@5 100.000 (99.552)
Epoch: [1][220/1201], lr: 0.00500	Time 8.588 (2.142)	Data 7.917 (1.476)	Loss 0.2875 (0.1481)	Prec@1 93.333 (95.596)	Prec@5 96.667 (99.532)
Epoch: [1][240/1201], lr: 0.00500	Time 6.155 (2.152)	Data 5.491 (1.486)	Loss 0.1282 (0.1475)	Prec@1 93.333 (95.546)	Prec@5 100.000 (99.530)
Epoch: [1][260/1201], lr: 0.00500	Time 6.337 (2.162)	Data 5.666 (1.495)	Loss 0.0271 (0.1472)	Prec@1 100.000 (95.594)	Prec@5 100.000 (99.540)
Epoch: [1][280/1201], lr: 0.00500	Time 7.007 (2.170)	Data 6.337 (1.504)	Loss 0.1268 (0.1511)	Prec@1 96.667 (95.469)	Prec@5 100.000 (99.502)
Epoch: [1][300/1201], lr: 0.00500	Time 7.181 (2.182)	Data 6.506 (1.515)	Loss 0.1490 (0.1524)	Prec@1 96.667 (95.426)	Prec@5 96.667 (99.502)
