Epoch: [0][980/1085], lr: 0.00500	Time 0.665 (2.349)	Data 0.000 (1.674)	Loss 0.0783 (0.1935)	Prec@1 96.667 (94.353)	Prec@5 100.000 (99.399)
Epoch: [0][1000/1085], lr: 0.00500	Time 0.663 (2.351)	Data 0.000 (1.676)	Loss 0.0727 (0.1943)	Prec@1 100.000 (94.306)	Prec@5 100.000 (99.397)
Epoch: [0][1020/1085], lr: 0.00500	Time 0.664 (2.350)	Data 0.000 (1.675)	Loss 0.2201 (0.1942)	Prec@1 90.000 (94.290)	Prec@5 100.000 (99.396)
Epoch: [0][1040/1085], lr: 0.00500	Time 0.664 (2.348)	Data 0.000 (1.674)	Loss 0.1459 (0.1932)	Prec@1 96.667 (94.313)	Prec@5 100.000 (99.401)
Epoch: [0][1060/1085], lr: 0.00500	Time 0.662 (2.350)	Data 0.000 (1.676)	Loss 0.1948 (0.1930)	Prec@1 93.333 (94.336)	Prec@5 100.000 (99.403)
Epoch: [0][1080/1085], lr: 0.00500	Time 0.665 (2.351)	Data 0.000 (1.676)	Loss 0.1488 (0.1932)	Prec@1 96.667 (94.329)	Prec@5 100.000 (99.408)
Epoch: [1][0/1085], lr: 0.00500	Time 7.460 (7.460)	Data 6.787 (6.787)	Loss 0.0633 (0.0633)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Epoch: [1][20/1085], lr: 0.00500	Time 5.298 (2.215)	Data 4.627 (1.548)	Loss 0.0933 (0.2071)	Prec@1 100.000 (94.921)	Prec@5 100.000 (99.524)
Epoch: [1][40/1085], lr: 0.00500	Time 6.836 (2.203)	Data 6.173 (1.535)	Loss 0.0509 (0.1972)	Prec@1 100.000 (94.715)	Prec@5 100.000 (99.431)
Epoch: [1][60/1085], lr: 0.00500	Time 5.277 (2.168)	Data 4.610 (1.499)	Loss 0.1658 (0.1831)	Prec@1 93.333 (94.645)	Prec@5 100.000 (99.508)
Epoch: [1][80/1085], lr: 0.00500	Time 5.352 (2.151)	Data 4.681 (1.482)	Loss 0.4733 (0.1872)	Prec@1 86.667 (94.527)	Prec@5 96.667 (99.547)
Epoch: [1][100/1085], lr: 0.00500	Time 2.205 (2.106)	Data 1.540 (1.437)	Loss 0.2038 (0.1833)	Prec@1 90.000 (94.653)	Prec@5 100.000 (99.505)
Epoch: [1][120/1085], lr: 0.00500	Time 3.125 (2.096)	Data 2.460 (1.427)	Loss 0.0991 (0.1792)	Prec@1 93.333 (94.821)	Prec@5 100.000 (99.477)
Epoch: [1][140/1085], lr: 0.00500	Time 2.765 (2.088)	Data 2.061 (1.419)	Loss 0.0864 (0.1707)	Prec@1 96.667 (95.059)	Prec@5 100.000 (99.527)
Epoch: [1][160/1085], lr: 0.00500	Time 1.102 (2.082)	Data 0.439 (1.413)	Loss 0.1315 (0.1668)	Prec@1 93.333 (95.135)	Prec@5 100.000 (99.524)
Epoch: [1][180/1085], lr: 0.00500	Time 0.665 (2.083)	Data 0.000 (1.414)	Loss 0.1927 (0.1661)	Prec@1 93.333 (95.193)	Prec@5 100.000 (99.521)
Epoch: [1][200/1085], lr: 0.00500	Time 1.633 (2.083)	Data 0.962 (1.414)	Loss 0.5585 (0.1681)	Prec@1 83.333 (95.025)	Prec@5 96.667 (99.502)
Epoch: [1][220/1085], lr: 0.00500	Time 0.703 (2.079)	Data 0.039 (1.410)	Loss 0.1629 (0.1695)	Prec@1 93.333 (94.977)	Prec@5 100.000 (99.548)
