Epoch: [0][1000/1134], lr: 0.00500	Time 0.761 (1.578)	Data 0.000 (0.795)	Loss 0.9411 (2.3844)	Prec@1 71.875 (41.337)	Prec@5 96.875 (70.810)
Epoch: [0][1020/1134], lr: 0.00500	Time 0.762 (1.577)	Data 0.000 (0.794)	Loss 1.2102 (2.3610)	Prec@1 65.625 (41.825)	Prec@5 90.625 (71.235)
Epoch: [0][1040/1134], lr: 0.00500	Time 0.762 (1.576)	Data 0.000 (0.793)	Loss 1.1775 (2.3366)	Prec@1 71.875 (42.330)	Prec@5 93.750 (71.659)
Epoch: [0][1060/1134], lr: 0.00500	Time 0.831 (1.578)	Data 0.000 (0.795)	Loss 1.1303 (2.3152)	Prec@1 65.625 (42.710)	Prec@5 93.750 (72.072)
Epoch: [0][1080/1134], lr: 0.00500	Time 0.763 (1.577)	Data 0.000 (0.795)	Loss 1.4817 (2.2947)	Prec@1 65.625 (43.143)	Prec@5 90.625 (72.436)
Epoch: [0][1100/1134], lr: 0.00500	Time 0.761 (1.578)	Data 0.000 (0.795)	Loss 1.0518 (2.2742)	Prec@1 68.750 (43.543)	Prec@5 93.750 (72.795)
Epoch: [0][1120/1134], lr: 0.00500	Time 0.762 (1.578)	Data 0.000 (0.796)	Loss 1.1037 (2.2551)	Prec@1 68.750 (43.954)	Prec@5 90.625 (73.141)
Epoch: [1][0/1134], lr: 0.00500	Time 6.289 (6.289)	Data 5.520 (5.520)	Loss 1.2001 (1.2001)	Prec@1 59.375 (59.375)	Prec@5 96.875 (96.875)
Epoch: [1][20/1134], lr: 0.00500	Time 2.769 (1.562)	Data 2.006 (0.796)	Loss 0.7140 (1.0124)	Prec@1 81.250 (71.875)	Prec@5 93.750 (95.536)
Epoch: [1][40/1134], lr: 0.00500	Time 2.738 (1.479)	Data 1.974 (0.710)	Loss 0.7940 (1.0173)	Prec@1 87.500 (71.037)	Prec@5 93.750 (94.665)
Epoch: [1][60/1134], lr: 0.00500	Time 3.081 (1.457)	Data 2.318 (0.689)	Loss 0.8391 (1.0263)	Prec@1 75.000 (70.697)	Prec@5 96.875 (94.467)
Epoch: [1][80/1134], lr: 0.00500	Time 3.036 (1.441)	Data 2.274 (0.674)	Loss 1.0364 (1.0219)	Prec@1 68.750 (70.332)	Prec@5 96.875 (94.792)
Epoch: [1][100/1134], lr: 0.00500	Time 2.443 (1.424)	Data 1.680 (0.658)	Loss 1.1741 (0.9983)	Prec@1 62.500 (70.854)	Prec@5 93.750 (95.204)
Epoch: [1][120/1134], lr: 0.00500	Time 0.761 (1.406)	Data 0.000 (0.640)	Loss 1.3476 (0.9982)	Prec@1 65.625 (70.764)	Prec@5 90.625 (95.119)
Epoch: [1][140/1134], lr: 0.00500	Time 0.765 (1.404)	Data 0.000 (0.636)	Loss 0.9814 (0.9987)	Prec@1 71.875 (70.900)	Prec@5 90.625 (95.080)
Epoch: [1][160/1134], lr: 0.00500	Time 0.764 (1.410)	Data 0.000 (0.643)	Loss 1.1585 (0.9994)	Prec@1 65.625 (70.982)	Prec@5 93.750 (94.934)
Epoch: [1][180/1134], lr: 0.00500	Time 0.770 (1.415)	Data 0.000 (0.648)	Loss 1.0317 (1.0114)	Prec@1 75.000 (70.390)	Prec@5 90.625 (94.734)
Epoch: [1][200/1134], lr: 0.00500	Time 0.762 (1.412)	Data 0.000 (0.644)	Loss 1.0676 (1.0127)	Prec@1 68.750 (70.243)	Prec@5 96.875 (94.698)
Epoch: [1][220/1134], lr: 0.00500	Time 0.762 (1.414)	Data 0.000 (0.645)	Loss 0.9612 (1.0097)	Prec@1 75.000 (70.320)	Prec@5 96.875 (94.627)
Epoch: [1][240/1134], lr: 0.00500	Time 0.825 (1.416)	Data 0.000 (0.647)	Loss 0.7555 (1.0110)	Prec@1 71.875 (70.241)	Prec@5 100.000 (94.567)
Epoch: [1][260/1134], lr: 0.00500	Time 0.764 (1.415)	Data 0.000 (0.646)	Loss 0.9918 (1.0014)	Prec@1 65.625 (70.498)	Prec@5 93.750 (94.708)
Epoch: [1][280/1134], lr: 0.00500	Time 0.763 (1.415)	Data 0.000 (0.645)	Loss 0.9695 (0.9928)	Prec@1 65.625 (70.641)	Prec@5 93.750 (94.873)
Epoch: [1][300/1134], lr: 0.00500	Time 0.761 (1.413)	Data 0.000 (0.642)	Loss 1.0072 (0.9854)	Prec@1 78.125 (70.764)	Prec@5 90.625 (95.017)
Epoch: [1][320/1134], lr: 0.00500	Time 0.764 (1.411)	Data 0.000 (0.640)	Loss 1.1345 (0.9803)	Prec@1 59.375 (70.911)	Prec@5 100.000 (95.093)
Epoch: [1][340/1134], lr: 0.00500	Time 0.834 (1.413)	Data 0.000 (0.641)	Loss 1.2010 (0.9809)	Prec@1 68.750 (70.949)	Prec@5 93.750 (95.051)
Epoch: [1][360/1134], lr: 0.00500	Time 0.830 (1.412)	Data 0.000 (0.639)	Loss 1.1069 (0.9796)	Prec@1 56.250 (70.940)	Prec@5 96.875 (95.092)
Epoch: [1][380/1134], lr: 0.00500	Time 0.763 (1.412)	Data 0.000 (0.639)	Loss 1.0647 (0.9772)	Prec@1 75.000 (71.022)	Prec@5 90.625 (95.030)
